,sid29,sid30,sid31,sid147,sid148,sid149,sid150,sid32,sid33,sid34,sid152,sid153,sid154,sid1,sid2,sid3,sid112,sid113,sid114,sid115,sid104,sid105,sid106,sid247,sid248,sid249,sid250,sid108,sid109,sid110,sid252,sid253,sid254,sid74,sid75,sid76,sid207,sid208,sid209,sid210,sid77,sid78,sid79,sid212,sid213,sid214,sid44,sid45,sid46,sid167,sid168,sid169,sid170,sid47,sid48,sid49,sid172,sid173,sid174,sid89,sid90,sid91,sid227,sid228,sid229,sid230,sid92,sid93,sid94,sid232,sid233,sid234,sid14,sid15,sid16,sid127,sid128,sid129,sid130,sid17,sid18,sid19,sid132,sid133,sid134,sid59,sid60,sid61,sid187,sid188,sid189,sid190,sid62,sid63,sid64,sid192,sid193,sid194
specimenName,BMP2_24_C1_A,BMP2_24_C1_B,BMP2_24_C1_C,BMP2_24_C2_A,BMP2_24_C2_B,BMP2_24_C2_C,BMP2_24_C2_D,BMP2_48_C1_A,BMP2_48_C1_B,BMP2_48_C1_C,BMP2_48_C2_A,BMP2_48_C2_B,BMP2_48_C2_C,ctrl_0_C1_A,ctrl_0_C1_B,ctrl_0_C1_C,ctrl_0_C2_A,ctrl_0_C2_B,ctrl_0_C2_C,ctrl_0_C2_D,EGF_24_C1_A,EGF_24_C1_B,EGF_24_C1_C,EGF_24_C2_A,EGF_24_C2_B,EGF_24_C2_C,EGF_24_C2_D,EGF_48_C1_A,EGF_48_C1_B,EGF_48_C1_C,EGF_48_C2_A,EGF_48_C2_B,EGF_48_C2_C,HGF_24_C1_A,HGF_24_C1_B,HGF_24_C1_C,HGF_24_C2_A,HGF_24_C2_B,HGF_24_C2_C,HGF_24_C2_D,HGF_48_C1_A,HGF_48_C1_B,HGF_48_C1_C,HGF_48_C2_A,HGF_48_C2_B,HGF_48_C2_C,IFNG_24_C1_A,IFNG_24_C1_B,IFNG_24_C1_C,IFNG_24_C2_A,IFNG_24_C2_B,IFNG_24_C2_C,IFNG_24_C2_D,IFNG_48_C1_A,IFNG_48_C1_B,IFNG_48_C1_C,IFNG_48_C2_A,IFNG_48_C2_B,IFNG_48_C2_C,OSM_24_C1_A,OSM_24_C1_B,OSM_24_C1_C,OSM_24_C2_A,OSM_24_C2_B,OSM_24_C2_C,OSM_24_C2_D,OSM_48_C1_A,OSM_48_C1_B,OSM_48_C1_C,OSM_48_C2_A,OSM_48_C2_B,OSM_48_C2_C,PBS_24_C1_A,PBS_24_C1_B,PBS_24_C1_C,PBS_24_C2_A,PBS_24_C2_B,PBS_24_C2_C,PBS_24_C2_D,PBS_48_C1_A,PBS_48_C1_B,PBS_48_C1_C,PBS_48_C2_A,PBS_48_C2_B,PBS_48_C2_C,TGFB_24_C1_A,TGFB_24_C1_B,TGFB_24_C1_C,TGFB_24_C2_A,TGFB_24_C2_B,TGFB_24_C2_C,TGFB_24_C2_D,TGFB_48_C1_A,TGFB_48_C1_B,TGFB_48_C1_C,TGFB_48_C2_A,TGFB_48_C2_B,TGFB_48_C2_C
experimentalTimePoint,24,24,24,24,24,24,24,48,48,48,48,48,48,0,0,0,0,0,0,0,24,24,24,24,24,24,24,48,48,48,48,48,48,24,24,24,24,24,24,24,48,48,48,48,48,48,24,24,24,24,24,24,24,48,48,48,48,48,48,24,24,24,24,24,24,24,48,48,48,48,48,48,24,24,24,24,24,24,24,48,48,48,48,48,48,24,24,24,24,24,24,24,48,48,48,48,48,48
collection,C1,C1,C1,C2,C2,C2,C2,C1,C1,C1,C2,C2,C2,C1,C1,C1,C2,C2,C2,C2,C1,C1,C1,C2,C2,C2,C2,C1,C1,C1,C2,C2,C2,C1,C1,C1,C2,C2,C2,C2,C1,C1,C1,C2,C2,C2,C1,C1,C1,C2,C2,C2,C2,C1,C1,C1,C2,C2,C2,C1,C1,C1,C2,C2,C2,C2,C1,C1,C1,C2,C2,C2,C1,C1,C1,C2,C2,C2,C2,C1,C1,C1,C2,C2,C2,C1,C1,C1,C2,C2,C2,C2,C1,C1,C1,C2,C2,C2
ligand,BMP2,BMP2,BMP2,BMP2,BMP2,BMP2,BMP2,BMP2,BMP2,BMP2,BMP2,BMP2,BMP2,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,EGF,EGF,EGF,EGF,EGF,EGF,EGF,EGF,EGF,EGF,EGF,EGF,EGF,HGF,HGF,HGF,HGF,HGF,HGF,HGF,HGF,HGF,HGF,HGF,HGF,HGF,IFNG,IFNG,IFNG,IFNG,IFNG,IFNG,IFNG,IFNG,IFNG,IFNG,IFNG,IFNG,IFNG,OSM,OSM,OSM,OSM,OSM,OSM,OSM,OSM,OSM,OSM,OSM,OSM,OSM,PBS,PBS,PBS,PBS,PBS,PBS,PBS,PBS,PBS,PBS,PBS,PBS,PBS,TGFB,TGFB,TGFB,TGFB,TGFB,TGFB,TGFB,TGFB,TGFB,TGFB,TGFB,TGFB,TGFB
replicate,A,B,C,A,B,C,D,A,B,C,A,B,C,A,B,C,A,B,C,D,A,B,C,A,B,C,D,A,B,C,A,B,C,A,B,C,A,B,C,D,A,B,C,A,B,C,A,B,C,A,B,C,D,A,B,C,A,B,C,A,B,C,A,B,C,D,A,B,C,A,B,C,A,B,C,A,B,C,D,A,B,C,A,B,C,A,B,C,A,B,C,D,A,B,C,A,B,C
Well_Cell_Count,1543,1452,1265,1356,1395,1408,759.5,2587,3713,2505,3171,2754,1314,728,746.8,634.5,852.2,1250,792.9,737.8,1672,2298,1624,1739,1776,1831,964,4681,5553,5026,4866,4687,2532,1360,2003,1062,1507,1272,1441,871,2264,2703,2047,2970,2778,1285,1653,1651,1463,1044,1524,2023,778.5,2484,3720,1637,2934,3555,1337,1933,1582,1362,1686,1890,1735,776,3105,3142,2773,2934,3188,1833,591,527,602,669.5,766,577.5,274.7,293,388,482.5,593,601,383.5,1579,1529,1228,1239,1766,1437,594,3097,2702,2098,2754,3231,1401
Image_Cell_Count,128.6,121,105.4,113,116.2,117.3,63.29,235.2,309.4,208.8,264.2,229.5,109.5,60.67,63.42,53.86,71.02,104.2,66.07,61.48,139.3,191.5,135.3,144.9,148,152.6,82.72,468.1,462.8,418.8,405.5,390.6,218.1,113.3,166.9,88.5,125.6,106,120.1,72.59,205.8,225.2,170.6,247.5,231.5,107.1,137.8,137.6,121.9,87,127,168.6,64.88,207,310,136.4,244.5,296.2,111.4,161.1,131.8,113.5,140.5,157.5,173.5,64.66,258.8,261.8,231.1,244.5,265.7,152.7,49.25,43.92,50.16,55.8,63.84,48.12,22.89,24.42,32.33,42.07,49.42,50.08,32.47,131.6,127.4,102.3,103.2,147.2,119.8,49.5,258.1,225.2,174.8,229.5,269.2,116.8
Intensity_IntegratedIntensity_EdU,NA,NA,NA,65330,57600,55590,59370,67340,70020,74480,81650,73370,69310,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94460,94450,82730,91620,84000,100400,95260,111600,112900,103900,NA,NA,NA,85170,56420,58740,66010,41020,51120,45850,42730,40590,54290,NA,NA,NA,76490,71960,75590,61540,38110,38800,38290,43990,44240,54820,NA,NA,NA,89100,71040,73500,74760,31100,35280,37960,46180,41100,65880,NA,NA,NA,32300,32000,29000,38650,35780,34160,29780,29140,33000,32110,NA,NA,NA,71790,76280,65720,66830,75050,98220,88370,87740,82140,83370
Intensity_IntegratedIntensity_OriginalDNA,320700,324400,336300,327600,338400,311500,336400,374400,384600,376400,387600,366800,336200,294400,325600,318600,319800,336700,339800,396500,340200,382300,380000,357700,383300,370500,397500,413200,436700,431400,426000,415100,410500,321500,358000,356800,354800,342300,347100,364600,348600,389800,339800,337100,327000,360800,351000,389300,375200,328300,334900,346800,347200,397000,414900,419400,360000,347300,362400,336300,373000,385000,370800,354900,346500,393400,348700,368800,376000,370100,335200,377800,346000,407400,341100,315900,355800,346500,399600,396800,401000,287400,298800,352400,334000,327600,345500,338700,345300,356800,331600,332600,397500,431300,410000,399800,391300,373100
Intensity_LowerQuartileIntensity_EdU,NA,NA,NA,188.1,156.3,168.9,169.8,146.4,157,162.8,172.5,163.5,178.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,282.6,256.5,230.8,246.8,182,228.1,210.2,241.9,263.6,253,NA,NA,NA,238.4,172.1,173.8,187,124.7,146.3,135.2,121.2,124.5,163,NA,NA,NA,241.1,208.1,216,180.4,117.5,123.4,123,129.7,131,171.9,NA,NA,NA,267.5,211.6,224.2,220.4,114.8,128.6,132,148.9,144.3,205.4,NA,NA,NA,120.8,113.4,113.7,123.8,114.2,116.1,112.4,112,112.8,119,NA,NA,NA,182.4,174,163.8,172.1,146.8,192,192.1,176.4,167.4,181.4
Intensity_LowerQuartileIntensity_OriginalDNA,844.5,929.4,949,956.1,926.5,932.9,964.8,833.9,897.9,859.2,847.7,855.2,906.9,880.4,977.8,1015,962.7,1023,1017,1090,953.7,1078,1107,1134,1096,1090,1134,947.7,1078,1017,990.6,1054,1072,957.9,1106,1109,1037,1063,1063,1066,1033,1129,1026,945,976.5,1092,1001,1169,1196,1097,1021,1055,1058,1146,1236,1243,1043,1018,1120,1022,1214,1204,1197,1140,1116,1223,1205,1324,1304,1237,1195,1255,982.8,1166,1042,1083,1104,1166,1160,1058,1130,963.7,1039,1064,1078,735.2,822.8,857.2,879.2,822.8,827,880.2,783,872.6,900.9,813.5,817.6,827.5
Intensity_MaxIntensity_EdU,NA,NA,NA,271.1,210.1,230.9,238.1,193.1,214.8,227.9,240.7,229.7,253.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,460.2,408.3,353.6,388.2,265,353.8,324.8,375.4,419.1,404.5,NA,NA,NA,379.8,257.3,263.7,284.6,155.9,202.7,180.3,145,152.7,233.3,NA,NA,NA,388.9,316.8,331.6,277.6,140.9,153,156.2,166.7,172.2,253.7,NA,NA,NA,461.8,345.7,363.4,387.2,131.4,165.8,173.2,214.7,202.9,332.6,NA,NA,NA,140.4,124,125.4,148.2,124.4,128.2,121.7,121.4,123.9,136,NA,NA,NA,268.9,247.2,225.7,247.3,196,286.2,293.6,255,236,264.4
Intensity_MaxIntensity_OriginalDNA,1207,1336,1367,1386,1348,1385,1452,1150,1234,1196,1167,1189,1316,1294,1428,1503,1438,1524,1551,1697,1385,1550,1633,1696,1616,1614,1715,1287,1487,1399,1370,1482,1559,1381,1600,1624,1511,1563,1586,1591,1477,1618,1448,1292,1372,1618,1481,1772,1808,1661,1495,1555,1604,1746,1886,1952,1516,1473,1707,1409,1756,1742,1736,1650,1600,1843,1694,1879,1866,1737,1676,1822,1502,1832,1594,1632,1702,1887,1888,1749,1865,1494,1578,1696,1736,1048,1204,1282,1288,1173,1203,1306,1099,1256,1344,1156,1152,1199
Intensity_MeanIntensity_EdU,NA,NA,NA,206,167.1,183.6,184.2,155.1,168,175.2,185.6,176,193.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,322.6,289.9,257.2,278.6,197.4,252.3,231.6,268.2,294.7,284.3,NA,NA,NA,268.7,190.4,193.9,209.1,131.2,157.5,144.6,126,129.7,177.9,NA,NA,NA,274.7,231.8,241.3,202.7,121.9,129.3,129.5,136.3,139,190.1,NA,NA,NA,309.2,241.4,254.9,258,118,135.4,140.7,162.6,156.5,233.8,NA,NA,NA,124.5,115.4,116,128.9,116.2,118.7,114.2,113.9,115,122.4,NA,NA,NA,199.8,188.5,176,188.6,156.6,210.9,213.2,192.5,181,199.9
Intensity_MeanIntensity_OriginalDNA,941.4,1041,1064,1077,1039,1057,1100,914.8,981.4,947.8,929,940.4,1018,995.6,1102,1152,1094,1159,1165,1260,1070,1208,1255,1295,1242,1236,1296,1034,1185,1117,1090,1169,1207,1072,1237,1249,1166,1200,1204,1208,1151,1258,1138,1033,1081,1236,1133,1341,1368,1256,1152,1193,1208,1308,1414,1439,1169,1140,1284,1126,1367,1354,1346,1279,1248,1394,1337,1478,1462,1373,1327,1412,1123,1347,1190,1236,1263,1365,1360,1242,1326,1108,1186,1230,1258,824.5,933.3,981.9,990.9,914.9,925.9,997,869.4,980.4,1029,902.7,905.5,930.5
Intensity_MedianIntensity_EdU,NA,NA,NA,207,167.7,184.8,185,155.3,168.2,175,186.2,175.8,194.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,323.6,291.8,259,280,197.1,252.2,230.7,268.1,294.6,285.1,NA,NA,NA,269,190.1,193.2,209.6,130.6,156.8,144.2,125.8,129.4,178.1,NA,NA,NA,275.7,233.4,243.1,202.7,121.6,129,128.8,135.8,138.6,190.8,NA,NA,NA,308.4,240.6,254.4,256.4,117.8,134.8,140.2,161.8,155.4,233.2,NA,NA,NA,124.3,115.4,115.9,129.2,116.2,118.8,114.1,113.9,115,122.4,NA,NA,NA,200.1,188.8,176.6,189.5,156.6,211.5,212.8,192.6,181.1,200.2
Intensity_MedianIntensity_OriginalDNA,954.9,1061,1084,1101,1058,1077,1116,929.2,1000,962.7,945,956.7,1037,1011,1122,1171,1110,1176,1182,1273,1087,1230,1276,1317,1264,1260,1317,1052,1208,1137,1110,1190,1228,1089,1255,1270,1187,1221,1222,1224,1168,1278,1158,1052,1099,1257,1148,1360,1388,1277,1174,1216,1224,1321,1428,1452,1187,1157,1302,1143,1390,1374,1367,1298,1267,1412,1355,1502,1483,1393,1345,1431,1134,1366,1206,1256,1278,1376,1367,1247,1334,1120,1205,1238,1270,833.9,945.9,994.6,1009,929.2,942.5,1014,877.7,994.2,1041,912.3,916.5,940.8
Intensity_MinIntensity_EdU,NA,NA,NA,143.5,127.7,134.8,135.2,121.5,127.2,130.2,133.7,130.6,137.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,192.5,175.9,163.5,173.2,140.6,164,155.7,170.9,184.8,175.7,NA,NA,NA,170.5,135.8,137.6,143.7,112.2,123.1,117.6,110.6,112.4,131.2,NA,NA,NA,171.2,153.2,158,140.4,108.7,112.7,112.3,114.8,115.7,134,NA,NA,NA,184,156.7,163.5,159.2,107.3,114.9,116.7,124.6,123.3,154.4,NA,NA,NA,111.5,107.6,107.7,113.1,108,109.4,106.9,106.6,106.9,110.2,NA,NA,NA,139.6,135.6,129.7,134.7,122,142.4,145.3,137.1,132.4,140.6
Intensity_MinIntensity_OriginalDNA,621.3,670.8,686.6,697.2,670.3,671.7,697.6,616.4,644.7,634.4,618.4,623.9,656.4,637,696.4,731.2,683.4,716.4,711.2,755.2,690,770.1,792.2,821.4,788.3,782.7,810.5,696.5,774.7,744,723.2,766.9,772.1,685.9,782.5,782.1,741.2,751.4,749.8,756.8,736.1,795.5,733.8,679.2,699.8,772.3,729.4,836.3,852.7,791.8,739.6,757,766.3,818.2,872.1,873.5,744,730.5,803.7,747.8,868.9,871.8,860.6,822,807.3,866.9,887.1,965.8,957.1,908.1,881.2,911.7,696.8,806.4,732.2,763.9,776.5,816.6,815.4,747.1,790.7,687,731.6,751.4,757.9,569.6,621.5,645.2,642,609.1,603.2,647,605.6,649.3,674.8,606.8,612.8,630.6
Intensity_StdIntensity_EdU,NA,NA,NA,26.83,16.57,21.12,21.4,13.55,16.87,18.82,20.7,18.97,23.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.05,49.61,40,46.34,23.36,36.73,32.1,39.9,46.62,46.88,NA,NA,NA,44.14,25.88,27.38,30.59,9.028,16.25,12.82,6.632,7.721,21.4,NA,NA,NA,47.95,35.01,37.05,30.39,6.134,7.966,8.726,9.709,11.11,25.96,NA,NA,NA,59.5,41.44,43.72,51.06,4.678,9.944,11.87,19.03,16.84,39.22,NA,NA,NA,5.466,2.98,3.318,7.047,2.935,3.623,2.649,2.71,3.212,4.956,NA,NA,NA,26.27,21.9,19.2,23.69,14.29,28.39,30.1,23.4,20.1,26.13
Intensity_StdIntensity_OriginalDNA,134.8,156.7,160.1,166.5,158.9,170.3,182.1,117.3,129.5,125.9,121.3,126.1,155.6,156.9,173.4,185.5,179.9,190.2,201.6,228.2,161.6,182.5,200.9,214.1,199,199.5,218.6,128.1,158.2,145,144,162.9,185.5,160.8,187.3,196.4,180.1,191.2,197.2,197,169,186.4,162,134,151.8,199.9,178,228.3,231,212.9,181.3,190.8,202,217.4,239.1,259.5,176.8,170.6,218.3,150,210.7,205.4,205.6,194.4,183.8,232.8,186.2,214.9,215.4,191.9,185.3,216.2,189.9,245,202.8,208.7,218.6,262.9,263.4,239.8,259.4,192.4,202.1,225.5,238.1,115,142.7,158,152.8,129.2,138.6,156.9,113.7,142.9,162.4,122.3,120.8,135.3
Intensity_UpperQuartileIntensity_EdU,NA,NA,NA,224.6,178.1,198.9,198.9,164,179.1,187.5,199.5,188.4,209.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,363.5,324.6,285,311.6,212.7,276.7,252.4,295,326,316.2,NA,NA,NA,299.1,208.1,213.3,230.6,137.3,168,153.1,130.3,134.5,192.4,NA,NA,NA,308.8,256.2,267.2,224.4,125.9,134.5,135.3,142.4,146.2,208.3,NA,NA,NA,349.8,270.2,285.1,293.2,121,141.5,148.6,175,167.5,260.8,NA,NA,NA,127.9,117.4,118.3,133.8,118.1,121.3,115.9,115.7,117.2,125.8,NA,NA,NA,217.6,203.1,189.3,205.1,166.4,230.4,233.7,208.7,194.8,218.5
Intensity_UpperQuartileIntensity_OriginalDNA,1047,1165,1192,1210,1163,1191,1244,1006,1080,1046,1023,1038,1140,1121,1241,1301,1237,1309,1325,1442,1197,1353,1418,1469,1402,1394,1472,1133,1309,1231,1203,1298,1356,1199,1383,1404,1308,1350,1359,1362,1283,1403,1266,1136,1199,1394,1275,1526,1554,1427,1296,1344,1369,1480,1602,1647,1308,1275,1459,1244,1537,1518,1509,1433,1393,1578,1483,1649,1634,1524,1474,1585,1272,1538,1348,1401,1432,1571,1566,1428,1526,1257,1344,1400,1444,918.2,1050,1112,1112,1016,1034,1122,960.7,1096,1162,999.3,1001,1039
Intensity_IntegratedIntensityEdge_CellMask,63530,57060,61660,43770,51860,48280,68680,40700,54190,56420,47300,48740,51740,75860,67040,64880,46120,58200,51540,69930,67600,56280,65500,47820,51400,52180,66700,38420,52190,56990,46050,51080,57210,81080,80840,85650,54500,69400,66540,79900,63350,76250,82560,54510,59400,74840,72470,64940,79230,51140,56010,57590,88920,56420,66840,81680,52620,54940,71850,92310,75910,88650,66700,80140,72920,107800,66130,80080,91620,69190,73080,97960,87880,81120,85120,53310,61000,53650,71210,64320,67560,69710,41140,48640,55600,50340,41720,46460,31040,42970,39620,52740,36920,43800,45790,42450,42850,46320
Intensity_IntegratedIntensityEdge_KRT5,69340,58180,56060,53560,56320,56410,75440,45210,50680,47760,44380,44020,51420,89230,69280,87840,45890,65300,55300,91470,73350,54740,62560,52440,55570,51440,69780,45490,46090,47110,38210,44780,54180,89420,87230,80790,61380,71320,62220,84000,79110,80840,74960,54720,62110,72470,77210,61660,74160,59130,57790,65070,85640,61860,57510,63850,52580,49100,68780,106200,84000,88770,61570,89430,74060,106400,89430,88430,86800,62740,71060,91530,126200,92820,102500,80180,80900,68270,97780,70920,92840,82420,68760,70340,85400,50220,42280,44130,39670,47360,41590,56700,41080,39670,39170,38510,38430,44410
Intensity_IntegratedIntensity_CellMask,1030000,876900,967300,738500,831600,821900,1126000,576200,761900,822500,698800,714400,853000,1252000,971900,939800,644300,706900,718900,842600,1047000,806400,942100,827900,859800,890500,1069000,474500,637500,689500,630900,653300,880300,1043000,878800,1020000,789000,891200,869600,1070000,675200,800400,864000,617600,673000,972900,1128000,954900,1071000,857600,945800,942900,1282000,593400,699000,883800,620800,645600,969800,1009000,829200,973600,742600,897000,822200,1183000,541600,658400,751300,597600,644800,972000,1219000,1038000,1084000,689600,716900,758400,964300,1045000,1022000,875600,518000,549600,810500,956000,771500,903000,557700,759900,726300,1005000,555000,719400,800900,695400,672900,824500
