,sid29,sid30,sid31,sid147,sid148,sid149,sid150,sid32,sid33,sid34,sid152,sid153,sid154,sid1,sid2,sid3,sid112,sid113,sid114,sid115,sid104,sid105,sid106,sid247,sid248,sid249,sid250,sid108,sid109,sid110,sid252,sid253,sid254,sid74,sid75,sid76,sid207,sid208,sid209,sid210,sid77,sid78,sid79,sid212,sid213,sid214,sid44,sid45,sid46,sid167,sid168,sid169,sid170,sid47,sid48,sid49,sid172,sid173,sid174,sid89,sid90,sid91,sid227,sid228,sid229,sid230,sid92,sid93,sid94,sid232,sid233,sid234,sid14,sid15,sid16,sid127,sid128,sid129,sid130,sid17,sid18,sid19,sid132,sid133,sid134,sid59,sid60,sid61,sid187,sid188,sid189,sid190,sid62,sid63,sid64,sid192,sid193,sid194
Intensity_UpperQuartileIntensity_KRT5,907.9,767.2,746,735.9,815.3,890.3,1190,448.6,529.9,495,448.7,479.4,743.5,1528,1074,1379,736.2,1023,934.4,1479,1021,710,837.3,807.2,812,812.3,1098,447,485.2,472.1,391.5,509.3,751.3,1329,1187,1191,830.5,1060,952.7,1247,1001,1006,917.3,621.1,777.4,1097,1087,915.6,1089,946.4,871.4,994.6,1388,796.8,776,915.9,619.7,583.2,1058,1333,1112,1174,836.1,1222,1022,1538,1177,1204,1150,794.2,962.3,1278,2154,1633,1642,1359,1302,1348,1733,1327,1766,1352,1161,1084,1638,607.2,520.2,594.6,490.2,552.1,527.1,830.1,389.1,407.7,444.3,377.2,377,555.3
AreaShape_Area,350.5,322.8,325.1,313.1,336.7,308.6,316.7,423.3,403.5,410,431.1,404,345.5,297.2,299,280.9,290.4,285.4,286.8,304.4,325.7,324.4,311,287.4,319,307.6,318.4,406,376.4,392.6,398.2,363.9,354.2,299.6,293,288,313,287.1,289.9,308.8,308.6,313.3,304.2,331.7,308.9,295.3,317.3,298.8,280.2,270.1,300.9,304.1,297.8,308.7,293.5,292,315.6,310.1,285.9,297.5,275.2,283.2,275.7,277.2,279.6,282.5,261.6,251.2,258.7,269,253,266.4,299.2,289.6,280.2,257.1,276.6,248.2,300.3,307.2,285.8,261.2,256.2,286.5,261.2,405.7,381.4,356.5,359.2,404,366.5,352.7,468.5,453.6,412.2,454.8,444.7,413.1
AreaShape_Compactness,1.069,1.067,1.064,1.058,1.064,1.068,1.076,1.078,1.07,1.076,1.074,1.072,1.076,1.08,1.079,1.078,1.085,1.09,1.092,1.102,1.076,1.079,1.077,1.072,1.077,1.069,1.082,1.068,1.074,1.072,1.067,1.07,1.076,1.086,1.09,1.094,1.082,1.09,1.08,1.1,1.097,1.089,1.095,1.074,1.08,1.099,1.077,1.078,1.084,1.068,1.064,1.065,1.116,1.117,1.114,1.143,1.095,1.092,1.097,1.065,1.069,1.069,1.067,1.074,1.068,1.086,1.066,1.06,1.064,1.063,1.061,1.067,1.112,1.112,1.114,1.098,1.1,1.11,1.126,1.138,1.112,1.102,1.106,1.136,1.114,1.07,1.074,1.087,1.073,1.062,1.065,1.084,1.09,1.091,1.105,1.089,1.089,1.075
AreaShape_Eccentricity,0.6331,0.6417,0.6422,0.6173,0.6164,0.6272,0.6414,0.6637,0.6472,0.6578,0.6536,0.6475,0.6524,0.6426,0.6434,0.642,0.642,0.6464,0.6466,0.6502,0.6482,0.6591,0.6549,0.6566,0.6521,0.6379,0.6541,0.6448,0.6552,0.6483,0.6462,0.6486,0.6534,0.6478,0.656,0.6648,0.6618,0.6642,0.6391,0.6728,0.66,0.6537,0.6561,0.6407,0.6441,0.6645,0.648,0.6499,0.654,0.6394,0.6256,0.6185,0.6629,0.69,0.6907,0.715,0.6809,0.6707,0.6684,0.6196,0.6291,0.6285,0.6251,0.6292,0.6119,0.6354,0.6058,0.6018,0.6131,0.6053,0.6049,0.612,0.6559,0.6597,0.6761,0.6666,0.6498,0.6639,0.6777,0.6596,0.6388,0.6599,0.6673,0.6845,0.6683,0.66,0.668,0.687,0.6589,0.6381,0.6302,0.6656,0.6837,0.687,0.7074,0.6845,0.684,0.654
AreaShape_Extent,0.7485,0.7524,0.7555,0.7592,0.7534,0.7569,0.7492,0.7491,0.7538,0.749,0.7502,0.7522,0.7517,0.7407,0.7425,0.7433,0.7347,0.73,0.7322,0.7217,0.7458,0.7457,0.7477,0.7545,0.7494,0.7533,0.7478,0.7503,0.7499,0.7491,0.7521,0.7489,0.7504,0.7352,0.7357,0.7358,0.7474,0.7422,0.7393,0.7374,0.7324,0.7348,0.7348,0.7476,0.7388,0.7346,0.7471,0.7481,0.7439,0.7562,0.7576,0.755,0.7283,0.7202,0.7216,0.7098,0.7363,0.7363,0.7353,0.7451,0.7463,0.7455,0.7482,0.7452,0.7483,0.7396,0.745,0.7494,0.7468,0.7474,0.7501,0.7469,0.7192,0.7166,0.7284,0.7386,0.7289,0.7252,0.7166,0.7047,0.7179,0.7302,0.7335,0.7142,0.726,0.7518,0.7515,0.7499,0.7531,0.7551,0.7522,0.7481,0.7411,0.7421,0.7384,0.7434,0.7419,0.7504
AreaShape_FormFactor,0.8617,0.8637,0.8672,0.8758,0.8651,0.863,0.8578,0.8573,0.8647,0.8596,0.8607,0.8625,0.8623,0.8415,0.8419,0.8455,0.8314,0.8195,0.8225,0.801,0.8537,0.8542,0.8561,0.8651,0.8593,0.863,0.8529,0.8612,0.8589,0.8593,0.8644,0.8606,0.8597,0.8338,0.831,0.8281,0.8544,0.8388,0.8404,0.8334,0.8256,0.8318,0.8334,0.8522,0.8412,0.8312,0.8537,0.8516,0.845,0.8676,0.8709,0.8674,0.82,0.8032,0.8055,0.7862,0.8373,0.8387,0.8329,0.8534,0.8564,0.8533,0.8558,0.8502,0.8558,0.8357,0.846,0.8547,0.8501,0.8536,0.8555,0.8503,0.8004,0.7959,0.8099,0.8337,0.8154,0.8104,0.7912,0.7774,0.7983,0.8192,0.8266,0.7876,0.8117,0.8645,0.8643,0.8578,0.8666,0.8699,0.8659,0.8558,0.8442,0.8456,0.8414,0.8482,0.8483,0.86
AreaShape_MajorAxisLength,24.5,23.54,23.56,22.87,23.72,22.79,23.41,27.31,26.44,26.79,27.37,26.44,24.51,22.78,22.86,22.13,22.56,22.48,22.53,23.31,23.81,23.89,23.3,22.34,23.58,22.86,23.58,26.41,25.59,26.07,26.14,25.03,24.77,23.02,22.83,22.8,23.53,22.69,22.47,23.68,23.62,23.59,23.44,24.02,23.28,23.14,23.46,22.71,22.22,21.44,22.46,22.51,23.2,24.05,23.43,23.96,23.96,23.64,22.77,22.42,21.7,21.99,21.64,21.84,21.75,22.23,21.04,20.51,20.93,21.29,20.59,21.23,23.28,22.92,22.86,21.69,22.26,21.3,23.57,23.9,22.66,21.78,21.76,23.35,21.92,26.66,25.99,25.42,25.07,26.12,24.83,24.91,29.15,28.7,27.84,28.7,28.37,26.77
AreaShape_MaxFeretDiameter,24,23.01,23.06,22.37,23.22,22.27,22.88,26.78,25.9,26.25,26.84,25.89,23.96,22.26,22.34,21.63,22.07,21.99,22.02,22.88,23.28,23.3,22.74,21.75,23,22.3,23.02,25.9,25.04,25.55,25.6,24.47,24.22,22.52,22.34,22.28,22.94,22.13,21.96,23.1,23.13,23.08,22.92,23.53,22.79,22.6,22.93,22.19,21.68,20.89,21.91,21.98,22.65,23.58,22.92,23.46,23.39,23.1,22.22,21.94,21.17,21.47,21.13,21.32,21.21,21.7,20.58,20.04,20.46,20.8,20.1,20.74,22.84,22.53,22.31,21.1,21.8,20.74,23.12,23.4,22.18,21.35,21.18,22.84,21.39,26.13,25.45,24.83,24.52,25.64,24.35,24.39,28.63,28.15,27.25,28.15,27.84,26.27
AreaShape_MaximumRadius,8.91,8.554,8.599,8.542,8.778,8.314,8.388,9.674,9.545,9.563,9.787,9.498,8.747,8.046,8.079,7.864,7.9,7.748,7.767,7.864,8.489,8.437,8.279,7.984,8.412,8.296,8.317,9.585,9.16,9.38,9.481,9.013,8.837,8.054,7.918,7.806,8.273,7.828,7.945,8.061,8.118,8.196,8.085,8.613,8.229,7.88,8.377,8.07,7.794,7.798,8.281,8.295,7.835,7.885,7.699,7.51,8.181,8.138,7.773,8.207,7.884,7.997,7.891,7.85,7.949,7.797,7.66,7.58,7.65,7.818,7.575,7.745,7.733,7.563,7.546,7.373,7.552,7.107,7.594,7.645,7.53,7.401,7.329,7.453,7.275,9.549,9.228,8.799,8.984,9.601,9.164,8.762,10.04,9.858,9.27,9.909,9.77,9.576
AreaShape_MeanRadius,3.607,3.485,3.503,3.464,3.546,3.393,3.423,3.91,3.85,3.861,3.945,3.836,3.566,3.304,3.315,3.233,3.243,3.188,3.198,3.228,3.467,3.456,3.399,3.294,3.438,3.389,3.41,3.857,3.713,3.788,3.822,3.658,3.598,3.3,3.255,3.223,3.4,3.237,3.264,3.32,3.326,3.357,3.322,3.504,3.366,3.257,3.423,3.314,3.215,3.209,3.375,3.376,3.231,3.26,3.193,3.137,3.375,3.35,3.212,3.34,3.23,3.27,3.232,3.222,3.248,3.206,3.14,3.111,3.14,3.197,3.111,3.171,3.184,3.126,3.136,3.076,3.122,2.97,3.147,3.144,3.109,3.069,3.054,3.094,3.032,3.86,3.751,3.609,3.651,3.857,3.69,3.574,4.053,3.992,3.798,4.005,3.957,3.862
AreaShape_MedianRadius,3.208,3.107,3.125,3.091,3.164,3.034,3.061,3.507,3.444,3.46,3.536,3.434,3.195,2.958,2.976,2.902,2.91,2.872,2.871,2.895,3.098,3.09,3.041,2.961,3.085,3.033,3.054,3.446,3.322,3.382,3.418,3.268,3.223,2.956,2.921,2.907,3.048,2.913,2.932,2.976,2.986,3.01,2.98,3.127,3.011,2.931,3.063,2.968,2.885,2.875,3.011,3.022,2.911,2.936,2.884,2.832,3.036,3.013,2.89,2.995,2.902,2.934,2.896,2.898,2.913,2.887,2.836,2.821,2.84,2.893,2.814,2.861,2.876,2.821,2.839,2.77,2.816,2.675,2.831,2.842,2.8,2.763,2.752,2.792,2.73,3.449,3.352,3.226,3.256,3.449,3.29,3.202,3.648,3.588,3.413,3.597,3.558,3.458
AreaShape_MinFeretDiameter,17.43,16.65,16.72,16.54,17.13,16.18,16.34,18.89,18.59,18.64,19.12,18.54,16.99,15.93,15.99,15.46,15.74,15.6,15.62,16.1,16.63,16.47,16.17,15.43,16.34,16.16,16.24,18.75,17.9,18.36,18.51,17.61,17.25,15.98,15.72,15.5,16.14,15.4,15.7,15.87,16.1,16.27,15.97,16.88,16.22,15.56,16.38,15.81,15.3,15.1,16.02,16.12,15.6,15.81,15.44,15.12,16.05,15.98,15.28,16.18,15.43,15.69,15.46,15.43,15.63,15.47,15.11,14.88,15.03,15.38,14.85,15.24,15.88,15.56,15.16,14.48,15.22,14.26,15.66,15.93,15.5,14.68,14.44,15.14,14.58,18.6,17.9,17.05,17.4,18.71,17.88,17.02,19.74,19.33,18.07,19.42,19.18,18.7
AreaShape_MinorAxisLength,18.16,17.41,17.47,17.31,17.9,16.97,17.08,19.62,19.33,19.37,19.87,19.29,17.75,16.65,16.7,16.19,16.41,16.23,16.27,16.65,17.36,17.22,16.92,16.21,17.1,16.94,16.97,19.49,18.63,19.09,19.25,18.36,17.99,16.62,16.37,16.16,16.88,16.1,16.4,16.56,16.73,16.92,16.63,17.6,16.91,16.25,17.12,16.55,16.01,15.87,16.81,16.89,16.24,16.38,16.03,15.67,16.74,16.67,15.96,16.88,16.16,16.41,16.2,16.16,16.36,16.15,15.83,15.61,15.74,16.1,15.61,15.96,16.44,16.1,15.76,15.18,15.84,14.92,16.17,16.42,16.1,15.33,15.1,15.66,15.21,19.34,18.65,17.79,18.15,19.46,18.62,17.74,20.4,20.02,18.77,20.1,19.85,19.43
AreaShape_Orientation,0.4736,2.374,-0.3722,-2.396,0.2238,-3.154,1.43,0.7563,-0.4333,2.959,3.001,-0.5935,-0.1418,-0.2257,1.655,-1.544,-0.824,-1.53,-0.8072,-1.672,2.675,0.6088,1.332,-0.5073,1.452,1.676,1.043,1.98,4.145,0.2958,-5.156,1.315,1.235,-0.3955,0.9482,2.835,-1.167,0.2505,2.499,0.5626,-2.295,1.153,3.952,0.06172,1.211,0.7009,-2.265,-1.61,-2.03,1.146,1.338,-1.41,3.532,-0.8372,1.886,1.528,1.815,0.6543,-1.624,0.3273,1.99,0.283,-0.3664,-0.6063,-0.8523,-2.578,-1.513,-1.264,0.814,-0.07178,-0.1182,-0.3236,-0.395,1.8,-1.569,0.2335,-3.988,0.5954,1.522,-3.614,-5.22,1.177,0.818,0.1055,2.104,0.9858,-0.5861,-3.286,3.004,-1.66,2.103,-0.573,0.3719,-1.03,0.8396,-0.1313,-0.7958,1.417
AreaShape_Perimeter,70.92,67.99,68.01,66.41,69.16,66.13,67.41,78.02,75.93,76.68,78.51,75.93,70.13,66.22,66.43,64.22,65.84,65.86,65.87,68.76,68.61,68.45,66.89,63.89,67.59,66.15,67.58,76.28,73.5,75.1,75.33,72.11,71.06,66.81,66.16,65.8,67.28,65.18,65.33,67.68,68.21,68.33,67.41,69.49,67.48,66.36,67.67,65.61,64.05,61.87,65.03,65.39,66.9,69.04,67.32,68.05,68.22,67.61,65.21,65.75,63.15,64.17,63.2,63.59,63.66,64.78,62.03,60.49,61.52,62.61,60.57,62.35,68.31,67.34,65.75,61.98,64.97,61.76,68.45,70.15,66.7,62.9,62.12,67.4,63.19,76.31,73.97,71.69,71.57,75.53,72.19,70.9,82.76,81.33,77.75,81.35,80.41,76.79
AreaShape_Solidity,0.9426,0.9427,0.9436,0.9434,0.9413,0.9404,0.9406,0.9471,0.9472,0.947,0.9469,0.9462,0.944,0.9345,0.9352,0.9351,0.9308,0.9268,0.9277,0.9219,0.9406,0.9416,0.9407,0.9415,0.9419,0.9401,0.9396,0.9462,0.9449,0.9455,0.946,0.9437,0.9432,0.9329,0.9318,0.9317,0.941,0.9343,0.9339,0.9355,0.9327,0.9337,0.935,0.9406,0.9363,0.9343,0.9398,0.9384,0.9349,0.9391,0.9418,0.9407,0.9271,0.9276,0.9271,0.9253,0.9381,0.9373,0.9333,0.936,0.9366,0.9359,0.9355,0.9353,0.9352,0.931,0.9314,0.9328,0.9326,0.9337,0.933,0.9327,0.922,0.9203,0.927,0.9325,0.9248,0.9236,0.9195,0.9142,0.9194,0.9292,0.9312,0.9194,0.9252,0.947,0.9471,0.9453,0.9459,0.9469,0.9442,0.9442,0.9468,0.9468,0.9463,0.9471,0.9468,0.9463
Normalized_First_Neighbor_Dist,0.7546,0.7124,0.6648,0.8934,0.8347,0.7928,0.6358,0.9604,0.9787,0.9059,1.014,0.9522,0.8066,0.5551,0.4864,0.4561,0.5682,0.4918,0.5041,0.4802,0.7128,0.711,0.6457,0.8261,0.7762,0.84,0.6072,1.096,0.9391,0.9897,1.053,0.9216,0.8701,0.5384,0.4972,0.4534,0.6532,0.4983,0.5346,0.4704,0.5869,0.5941,0.5237,0.6903,0.6193,0.5484,0.7409,0.6886,0.5968,0.7965,0.8492,0.8631,0.5632,0.6578,0.66,0.534,0.7266,0.7808,0.6352,0.5821,0.5123,0.4833,0.5656,0.5424,0.6042,0.3925,0.5468,0.5437,0.4982,0.5711,0.5871,0.5148,0.495,0.4471,0.449,0.4662,0.5047,0.5598,0.4951,0.6278,0.6504,0.4146,0.431,0.4764,0.5589,1.092,1.014,1.034,1.017,1.079,0.9941,0.791,1.196,1.163,1.136,1.152,1.158,1.005
Normalized_Second_Neighbor_Dist,1.098,1.095,0.9814,1.268,1.294,1.196,1.003,1.273,1.304,1.219,1.334,1.3,1.188,1.017,0.9469,0.8922,1.026,0.8682,0.9553,0.8279,1.028,1.012,0.9331,1.268,1.204,1.258,0.9233,1.358,1.172,1.233,1.339,1.191,1.208,0.8302,0.7474,0.7084,0.989,0.8183,0.893,0.7878,0.7895,0.865,0.7387,0.9472,0.8913,0.86,1.089,1.105,0.8816,1.198,1.223,1.268,0.9176,0.8989,0.9275,0.761,1.014,1.07,0.982,0.7772,0.6813,0.7498,0.7905,0.7824,0.8772,0.7244,0.6816,0.6631,0.7097,0.8004,0.7547,0.7052,0.8302,0.8522,0.7926,0.8392,0.818,1.12,1.1,1.06,1.089,0.7647,0.9867,0.9104,1.034,1.439,1.402,1.436,1.424,1.473,1.398,1.192,1.594,1.565,1.532,1.524,1.539,1.427
Normalized_Third_Neighbor_Dist,1.382,1.397,1.268,1.574,1.587,1.614,1.343,1.556,1.568,1.484,1.609,1.609,1.503,1.46,1.272,1.247,1.435,1.198,1.356,1.16,1.286,1.246,1.185,1.62,1.554,1.664,1.218,1.598,1.397,1.467,1.611,1.442,1.501,1.109,0.9791,1.021,1.289,1.133,1.268,1.061,1.02,1.067,0.9753,1.174,1.198,1.175,1.4,1.402,1.139,1.524,1.529,1.589,1.161,1.145,1.141,0.9817,1.236,1.315,1.317,0.935,0.8709,0.8904,1.001,1.035,1.084,0.9668,0.8439,0.8018,0.8244,0.9329,0.9099,0.9074,1.224,1.246,1.128,1.154,1.118,1.55,1.47,1.543,1.546,1.198,1.322,1.306,1.468,1.76,1.719,1.757,1.777,1.835,1.836,1.574,1.906,1.874,1.858,1.836,1.872,1.777
Normalized_Fourth_Neighbor_Dist,1.77,2.049,2.054,2.131,2.542,2.438,2.304,1.86,1.89,1.841,1.945,2.045,2.229,2.932,2.45,2.486,2.71,1.933,2.647,2.26,1.709,1.659,1.644,2.41,2.328,2.236,1.838,1.846,1.82,1.694,1.908,1.722,1.967,1.608,1.679,1.744,2.015,2.063,2.047,1.917,1.435,1.481,1.401,1.477,1.767,1.821,1.931,2.136,1.503,2.412,2.091,2.029,2.256,1.42,2.327,1.546,1.529,1.757,2.243,1.25,1.165,1.584,1.561,1.534,1.339,1.53,1.061,1.018,1.16,1.276,1.503,1.682,2.608,3.006,2.105,2.416,1.918,3.407,2.495,3.385,3.226,2.617,2.288,2.578,3.188,2.185,2.239,2.382,2.823,2.401,2.724,3.259,2.183,2.16,2.205,2.215,2.277,2.446
Number_Neighbors,6.153,5.866,5.913,4.056,4.053,3.864,3.67,7.963,9.895,8.344,8.213,7.308,4.601,3.018,4.512,4.372,4.017,6.179,4.006,4.856,6.896,8.867,7.756,5,5.33,4.962,5.719,15.13,16.91,15.64,12.58,13.04,8.579,7.39,11.52,7.65,6.852,6.9,6.032,6.764,11.52,14.57,13,12.18,10.71,7.133,6.942,7.168,8.123,3.906,4.874,5.667,4.94,15.12,17.5,11.72,14.11,13.55,6.948,14.89,14.5,13.92,13.83,12.1,12.26,10.56,27.17,27.77,29.99,28.2,24.74,19.29,4.94,3.831,5.938,4.788,5.646,2.686,3.215,2.665,3.595,5.045,3.738,4.69,2.614,3.942,3.802,3.284,2.889,4.126,3.003,2.144,6.277,5.656,4.597,5.962,6.753,3.329
Mean_Cells_per_Cluster,3.579,3.588,3.742,2.38,2.605,2.51,2.527,4.78,5.92,4.894,4.795,4.356,2.91,2.417,3.089,3.134,2.628,3.677,2.73,3.235,4.212,5.149,4.626,3.001,3.284,3.144,3.328,9.847,9.96,9.814,7.51,8.051,5.321,4.229,7.16,4.782,3.856,4.107,3.899,4.497,7.586,7.697,8.765,8.344,7.06,4.426,3.836,4.198,4.341,2.342,2.866,3.4,3.208,7.442,10.28,6.675,7.418,7.916,4.264,7.593,7.271,8.173,6.839,6.309,6.446,6.426,17.57,17.16,19.74,14.7,16.9,10.56,3.012,2.926,3.969,3.074,3.829,2.324,2.958,2.186,2.488,3.724,2.891,3.324,2.266,1.994,2.137,1.826,1.902,2.352,2.127,1.682,3.197,3.001,2.326,3.196,3.954,2.017
Proportion_in_large_cluster,0.3185,0.2664,0.3417,0.1236,0.1226,0.1023,0.1787,0.389,0.4537,0.4534,0.3914,0.3563,0.197,0.08025,0.1912,0.2078,0.1586,0.2754,0.1371,0.2152,0.3862,0.4827,0.3929,0.1798,0.232,0.2105,0.2417,0.7657,0.7338,0.764,0.5841,0.6108,0.4412,0.3677,0.575,0.3507,0.3445,0.3409,0.3019,0.3554,0.6505,0.701,0.6521,0.6862,0.5449,0.3714,0.4082,0.3886,0.4143,0.1835,0.2208,0.2484,0.2906,0.7222,0.733,0.6246,0.6923,0.6985,0.3668,0.7511,0.7269,0.7228,0.6466,0.6219,0.5747,0.5197,0.9086,0.9051,0.9062,0.8988,0.8363,0.7157,0.1994,0.1831,0.2919,0.1518,0.2535,0.0883,0.1294,0.1107,0.1658,0.2592,0.1509,0.1858,0.06819,0.08027,0.05693,0.08361,0.03361,0.1044,0.07622,0.03195,0.1976,0.2145,0.08978,0.2113,0.2872,0.05669
G2m_Proportion,0.2271,0.1768,0.2239,0.1987,0.228,0.1549,0.1859,0.1571,0.1736,0.1642,0.1931,0.1815,0.1452,0.2362,0.2735,0.2737,0.2301,0.2316,0.2575,0.2732,0.2683,0.3291,0.3057,0.2656,0.3175,0.2634,0.3076,0.2457,0.2753,0.2596,0.2866,0.3038,0.2874,0.2273,0.2474,0.2503,0.266,0.2305,0.2318,0.2255,0.1663,0.2066,0.1278,0.09487,0.1446,0.2122,0.3131,0.3204,0.315,0.2409,0.2304,0.2586,0.2378,0.2476,0.2394,0.2824,0.1979,0.1616,0.2105,0.2504,0.2908,0.313,0.2669,0.2621,0.2276,0.2818,0.1526,0.1414,0.1645,0.1706,0.1704,0.2317,0.1586,0.2242,0.165,0.126,0.1566,0.2073,0.2306,0.1875,0.1951,0.1092,0.1158,0.1737,0.174,0.1883,0.1866,0.1808,0.2242,0.2308,0.1899,0.1804,0.2098,0.2775,0.272,0.2364,0.2283,0.2245
Edu_Positive_Proportion,NA,NA,NA,0.1589,0.121,0.1211,0.121,0.1127,0.1105,0.1286,0.147,0.1233,0.142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3077,0.2982,0.2267,0.2452,0.2125,0.2532,0.2303,0.2707,0.3113,0.2852,NA,NA,NA,0.2725,0.147,0.1327,0.1533,0.05021,0.08947,0.06566,0.03019,0.04046,0.1258,NA,NA,NA,0.262,0.23,0.2282,0.1528,0.02303,0.06029,0.04662,0.1056,0.0947,0.1573,NA,NA,NA,0.3043,0.2128,0.2057,0.2103,0.01397,0.04066,0.04896,0.08332,0.07551,0.1924,NA,NA,NA,0.0337,0.002846,0.004066,0.0366,0.004166,0.005108,0,0.0007185,0.00568,0.0178,NA,NA,NA,0.1747,0.1737,0.1325,0.1398,0.1397,0.2014,0.2021,0.1654,0.1459,0.172
